Essential genes
accA
accB
accC
accD
aceE
aceF
acnB
acpP
adk
alaS
alaT
alaU
alaV
argA
argB
argC
argE
argG
argH
argQ
argR
argS
argU
argV
argX
argY
argZ
aroA
aroB
aroC
aroD
aroE
aroK
asd
asnS
asnT
asnU
asnV
asnW
aspS
aspT
aspU
aspV
bamA
bioB
bioF
can
carA
carB
cca
cdsA
clpP
coaA
coaD
coaE
csrA
cvpA
cysA
cysC
cysD
cysE
cysG
cysH
cysI
cysJ
cysK
cysN
cysP
cysQ
cysS
cysT
cysU
cysW
dam
dapA
dapB
dapD
dapE
dapF
dcd
ddlB
def
degS
der
dfp
dnaA
dnaB
dnaC
dnaE
dnaG
dnaK
dnaN
dnaT
dnaX
dnaX
dut
dxs
eno
esrE
fabB
fabD
fabG
fabH
fabI
fabZ
fbaA
fepD
fepG
ffh
ffs
fkpB
fldA
fmt
folA
folB
folC
folD
folE
folK
folP
frr
ftsA
ftsB
ftsE
ftsH
ftsI
ftsL
ftsQ
ftsW
ftsX
ftsY
ftsZ
fusA
gapA
gcvR
glmM
glmU
glnS
glnU
glnV
glnW
glnX
gltA
gltT
gltU
gltV
gltW
gltX
glyA
glyS
glyT
glyV
glyW
glyX
glyY
gmk
gph
groL
groS
guaA
guaB
gyrA
gyrB
hemB
hemC
hemD
hemE
hemH
hflD
hisA
hisB
hisC
hisD
hisF
hisH
hisL
hisR
hisS
holA
holB
holD
ibaG
igaA
ileS
ileT
ileU
ileV
ileX
ileY
ilvA
ilvC
ilvD
ilvE
ilvH
ilvI
ilvM
infA
infB
infC
ispA
ispB
ispD
ispE
ispG
ispH
ispU
kdsA
kdsB
kdsC
kdsD
lapA
lapB
lepA
lepB
leuA
leuB
leuC
leuD
leuQ
leuS
leuT
leuU
leuV
leuW
leuZ
lgt
ligA
lipA
lnt
lolA
lolB
lolC
lolD
lolE
lpcA
lpd
lptA
lptB
lptE
lptF
lptG
lpxA
lpxB
lpxC
lpxD
lpxH
lpxK
lspA
lysA
lysS
metB
metE
metF
metG
metK
metV
metW
metZ
minE
mltG
mnmA
mraY
mraZ
mrdA
mrdB
mreB
mreC
mreD
msbA
murA
murB
murC
murD
murE
murF
murG
murI
murJ
nadA
nadB
nadC
nadD
ndh
nrdA
nrdB
nrdR
nusA
nusB
nusG
ompA
orn
panB
panC
panD
panZ
parC
parE
pcnB
pdxA
pdxH
pdxJ
pfkA
pgi
pgk
pheS
pheT
pheU
pheV
phoU
plsB
plsX
polA
ppa
ppc
ppiB
priA
priB
prmB
proA
proB
proM
proS
prs
psd
pssA
ptsH
ptsI
ptsN
purA
purB
purC
purD
purE
purF
purH
purK
purL
purM
pyrC
pyrD
pyrE
pyrF
pyrG
pyrH
rfaD
rfaE
rho
rhoL
ribA
ribC
ribD
ribE
ribF
rimM
rimP
rlmH
rne
rnhB
rnpA
rnpB
rodZ
rph
rplA
rplB
rplC
rplD
rplE
rplF
rplI
rplJ
rplK
rplL
rplM
rplN
rplO
rplP
rplQ
rplR
rplS
rplT
rplV
rplW
rplX
rplY
rpmA
rpmB
rpmC
rpmD
rpmG
rpmH
rpmJ
rpoA
rpoB
rpoC
rpoE
rpoH
rpoZ
rpsA
rpsB
rpsC
rpsD
rpsE
rpsF
rpsG
rpsH
rpsI
rpsJ
rpsK
rpsL
rpsM
rpsN
rpsO
rpsP
rpsQ
rpsR
rpsS
rpsT
rpsU
rrfA
rrfB
rrfC
rrfD
rrfE
rrfF
rrfG
rrfH
rrlA
rrlB
rrlC
rrlD
rrlE
rrlG
rrlH
rrsA
rrsB
rrsC
rrsD
rrsE
rrsG
rrsH
rseA
rseP
rsfS
rsmH
sdhB
secA
secE
secG
secM
secY
serA
serB
serC
serS
serT
serV
serW
serX
skp
spoT
ssb
sucA
sucB
surA
tff
thiL
thrA
thrB
thrC
thrS
thrT
thrU
thyA
tmk
topA
tpiA
trmD
trpA
trpB
trpC
trpD
trpE
trpS
trpT
tsaB
tsaC
tsf
tufA
tufB
tyrS
tyrT
tyrU
tyrV
ubiB
ubiD
ubiE
ubiJ
usg
valS
valT
valU
valX
valY
valZ
waaA
waaC
wzyE
yaaY
ycaR
yejL
yejM
yffB
yhbE
yidC
yifL
yqgD
yqgF
yqiA
zipA
